Rank,Company,Signal,Category,Severity,Status,Source,Date,Evidence,A&M_Service_Line,Confidence
11,Whirlpool of India,Premium product strategy success unproven at scale,Strategic & Market,High,Execution Risk,Q3 Presentation,2026-02-12,Company betting heavily on glass-door premium ranges (Pride of India, Lapis Grande), AC (>50% growth), front-load washers (1.5X volumes) - but in weak market; affordability/demand risk if macro deteriorates,CDD,Inferred
12,Whirlpool of India,Post-autonomy IT transition dependency - TSA expires 2028-29,Operational & Strategic,High,Future Risk,Corporate Announcements,2026-02-12,Transitional Service Agreement with Whirlpool Corp for IT systems support (3+ years) - must build independent IT roadmap and capability by 2028-29,PEPI/Turnaround,Verified
13,Whirlpool of India,AC business >50% growth but absolute contribution and profitability metrics unclear,Strategic & Financial,High,Uncertainty,Q3 Presentation,2026-02-12,AC business growing >50% in CY 2025 but base year low; market entry profitability targets and capex not disclosed; strategic viability unclear,CDD,Verified
14,Whirlpool of India,Elica 100% acquisition approved Feb 2026 - integration execution risk,Inorganic Growth,High,Execution Risk,Board Minutes,2026-02-06,3.18% stake acquisition approved to achieve 100% ownership; kitchen appliance market smaller than core; M&A synergy realization uncertain,Transaction Advisory/PEPI,Verified
15,Whirlpool of India,Whirlpool Corp brand/technology access agreements termination risk if governance shifts,Strategic & Governance,High,Structural,Long-term Contract Announcements,2026-02-12,30-year brand license and technology access secured but dependent on Whirlpool Corp cooperation; if new large shareholder emerges post further equity dilution risk of relationship strain,Transaction Advisory,Inferred
16,Whirlpool of India,Supply chain vendor consolidation under P4G creating concentration risk,Operational Risk,Medium-High,Structural,Q3 Presentation,2026-02-12,P4G program includes vendor consolidation for cost productivity - reduced vendor base increases supply disruption risk; mitigation strategy not disclosed,PEPI,Inferred
17,Whirlpool of India,Front-load washer category showing triple-digit share growth but low absolute market size,Market & Competitive,Medium-High,Opportunity vs Risk,Q3 Presentation,2026-02-12,Front-load washer segment growing 1.5X volumes and triple-digit market share YoY but category remains niche premium; sustainability and scale-up risk in weak market,CDD,Verified
18,Whirlpool of India,Elica premium kitchen appliance market expansion strategy in uncertain niche market,Strategic,Medium-High,Execution Risk,Board Announcement,2026-02-06,100% Elica acquisition signals commitment to kitchen segment but market significantly smaller than core; double-digit margins achievable only in niche premium positioning,CDD/PEPI,Inferred
19,Whirlpool of India,Company describes market shares as sustaining not gaining - indicates maturity/defensive positioning,Strategic,Medium-High,Strategic Shift,Q3 Presentation,2026-02-12,Strategic imperative shifted from gaining to sustaining market share - indicates mature market positioning and defensive strategy; question whether profitability can compound beyond cost productivity,CDD,Verified
20,Whirlpool of India,Direct cool refrigerator segment declining as consumers upgrade to premium - revenue headwind,Product Mix,Medium-High,Structural,Q3 Presentation,2026-02-12,Direct cool volume share declining in recent quarters - company managing through premiumization but segment revenue erosion ongoing; mix shift necessary but volume loss painful,PEPI/CDD,Verified
21,Whirlpool of India,Working capital swings between positive and negative - seasonal cash flow lumpiness,Cash Flow & Liquidity,Medium,Operational Risk,Financial Statements,2026-02-12,Negative WC in 4 of last 6 quarters but Q1 typically positive - indicates high seasonality and working capital lumpiness; tight inventory management = supply disruption vulnerability,PEPI,Verified
22,Whirlpool of India,Multiple legal metrology compliance violations across states (₹100K+ compounding fees),Compliance & Regulatory,Medium,Resolved,SEBI Regulation 30 Filings,2025-12-25 / 2025-09-25 / 2025-08-01,Goa ₹40K, Delhi ₹50K, Kerala ₹10K compounding fees paid - indicates labeling/packaging QA process gaps; pattern suggests systemic compliance issue,PEPI,Verified
23,Whirlpool of India,Company organizational changes with multiple senior management transitions in past 6 months,Organizational & Capability,Medium,Active,SEBI Filings,2025-10-08 / 2025-03-25 / 2026-01-05,VP Sales (Pinaki Haldar) resigned; VP Marketing transitions; Factory Head changes; Head-Legal appointed with 25+ years IP experience - indicates restructuring post-autonomy,PEPI/Turnaround,Verified
24,Whirlpool of India,Gross margin progression 27.5% to 30.8% over 3 years - further improvement sustainability uncertain,Financial Performance,Medium,Uncertainty,Q3 Presentation,2026-02-12,P4G program delivered 320 bps expansion but law of diminishing returns may apply; further margin improvement dependent on continued cost innovation or premium mix shift,PEPI,Inferred
25,Whirlpool of India,Autonomy transition execution - must deliver as independent entity post-parent equity dilution,Organizational & Strategic,Medium,Future Risk,Corporate Announcements,2026-02-12,Post-equity dilution company must independently execute on technology roadmap, market expansion, regulatory compliance, and capability building - complex multi-year transition,PEPI/Turnaround,Inferred
26,Whirlpool of India,EBITDA growth (+31-47%) significantly outpacing revenue growth (+4%) - multiple compression risk,Financial Performance,Medium,Valuation Risk,Q3 Presentation & Filings,2026-02-12,EBITDA growth 31-47% while revenue growth only 4% = high EBITDA multiple leverage; if revenue growth slows further multiple could compress despite margin strength,CDD,Inferred
27,Whirlpool of India,Market share maintenance described as priority not growth - profitability premium strategy may limit volume upside,Strategic,Medium,Strategic Choice,Q3 Presentation,2026-02-12,Shift to profitability focus may constrain volume growth; if competitors consolidate market leadership may erode; clear strategic choice but trade-off with scale,CDD/PEPI,Verified
28,Whirlpool of India,NPS score improvement from 50 to 95+ is operational win but sustainability unclear,Customer & Operational,Medium,Achievement,Q3 Presentation,2026-02-12,Net Promoter Score improved dramatically (50 to 95+) through service organization setup - demonstrates execution but maintaining 95+ standard is operationally challenging,PEPI,Verified
29,Whirlpool of India,Standalone revenue growth +3.8% in Q3 vs consolidated +4% - subsidiary (Elica) contribution modest but growing,Financial Performance,Medium,Growth Opportunity,Financial Filings,2026-02-12,Standalone revenue 1624 Cr vs consolidated 1774 Cr = Elica contributes ~₹150 Cr (~8%); Elica double-digit margins indicate higher potential if scaled,CDD/PEPI,Verified
30,Whirlpool of India,Annual General Meeting held Sep 2025 - governance processes in place but board independence/diversity not detailed,Governance,Medium,Process Risk,AGM Announcement,2025-09-12,64th AGM conducted with shareholder voting; new independent director (Anil Berera) appointed Feb 2026 - governance framework adequate but director independence/expertise detail sparse,Transaction Advisory,Verified
31,Whirlpool of India,New independent director appointed Feb 2026 - timing suggests fresh governance consideration post-autonomy,Governance,Medium,Governance Evolution,Board Announcement,2026-02-06,Anil Berera appointment as Independent Director effective Mar 1, 2026 - timing suggests board refresh for autonomy era; skills/background not detailed,Transaction Advisory,Verified
32,Whirlpool of India,Dividend declared ₹5/share for FY 2024-25 - capital return confidence but autonomy capex needs may increase payout pressure,Capital Allocation,Medium,Planning Risk,Board Announcement & AGM,2025-06-01 / 2025-08-01,Final dividend ₹5 per share recommended; paid post-AGM approval - indicates confidence in cash generation but autonomy may require capex; dividend sustainability unclear,PEPI/Transaction Advisory,Inferred
33,Whirlpool of India,No explicit FY 2025-26 full-year financial guidance provided by management,Financial Planning,Medium,Uncertainty,Q3 Presentation,2026-02-12,Company provides no quantitative guidance on FY 2025-26 revenue/EBITDA/EPS - investors must extrapolate from Q3 trends; weak visibility on full-year targets,CDD,Verified
34,Whirlpool of India,Wage code compliance issue creates one-time liability but ongoing wage inflation structural risk,Cost Structure & Regulatory,Medium,Structural & Active,Board Minutes & Filings,2026-02-06,₹39 Cr wage code provision + statutory minimum wage requirements = structural wage cost inflation headwind going forward; industry-wide issue but Whirlpool's large workforce amplifies impact,PEPI,Verified
35,Whirlpool of India,Segment-level revenue breakdown not disclosed - product mix shift analysis impossible,Information Gap,Medium,Analytical Risk,Q3 Presentation & Filings,2026-02-12,Consolidated and standalone revenue disclosed but no breakout by refrigerator/washer/AC/kitchen - cannot assess which segments driving growth or profitability,CDD,Verified
36,Whirlpool of India,Absolute market share percentages not disclosed - competitive positioning benchmarking impossible,Information Gap,Medium,Analytical Risk,Q3 Presentation,2026-02-12,Company states market leadership in refrigerators and washers but no specific share % disclosed - cannot assess vs competitors or track share trajectory,CDD,Verified
37,Whirlpool of India,Capex amounts and breakdown not disclosed - capital intensity and ROI assessment impossible,Information Gap,Medium,Financial Planning Risk,Q3 Presentation & Filings,2026-02-12,No capex guidance, historical spend, or breakdown by facility/category - cannot assess capital requirements for growth (AC, kitchen, new products),CDD/PEPI,Verified
38,Whirlpool of India,Manufacturing excellence awards (Silver Pune, Bronze other) achieved but further optimization headroom unclear,Operational,Low-Medium,Execution Opportunity,Q3 Presentation,2026-02-12,P4G awards in place but company hasn't detailed further productivity targets; potential for additional margin expansion exists but opportunity size unclear,PEPI,Inferred
39,Whirlpool of India,Call center transition to new number (080-6518-8888) suggests service reorganization - transition execution risk,Operational,Low-Medium,Process Risk,Q3 Presentation,2026-02-12,Call center migrated to new number from previous system; operational execution risk in transition though NPS improving overall,PEPI,Inferred
40,Whirlpool of India,Factory head changes (Faridabad) - manufacturing continuity risk during transition,Operational,Low-Medium,Transition Risk,Board Announcement,2025-10-08,Sarabjeet Singh (Factory Head-Faridabad) resigned Oct 8, 2025; succeeded by Rohit Khera - leadership continuity maintained but transition risk during autonomous era,PEPI,Verified
41,Whirlpool of India,Quality head appointment (Umesh Kumar) suggests QA focus post-compliance issues,Organizational,Low-Medium,Process Improvement,Board Announcement,2025-10-08,Umesh Kumar appointed Quality Head to address metrology compliance issues observed in 2025 - indicates quality process strengthening,PEPI,Verified
42,Whirlpool of India,Website domain transition (www.whirlpoolindia.com to corporate.whirlpool.in) implies digital infrastructure upgrade,IT & Digital,Low-Medium,Process Modernization,SEBI Filing,2026-01-08,Domain transition completed Jan 8, 2026 - suggests IT infrastructure modernization underway ahead of TSA expiry planning,PEPI,Verified
43,Whirlpool of India,Company Secretary resignation (Roopali Singh) effective June 30, 2025 - compliance leadership continuity risk managed,Governance,Low,Process Execution,Board Announcement,2025-05-20,Ms. Roopali Singh (VP-Legal & Company Secretary) resigned to pursue professional opportunities; successor not immediately named in May announcement; transition managed by board,Governance,Verified
44,Whirlpool of India,New Company Secretary (Sweta Srivastava) appointed - governance continuity established,Governance,Low,Process Execution,SEBI Filings,2026-02-12,Sweta Srivastava confirmed as Company Secretary & Compliance Officer as of Feb 2026; investor contact assigned - governance continuity confirmed,Governance,Verified
45,Whirlpool of India,Multiple state-level GST disputes indicate compliance complexity in India tax environment,Regulatory & Tax,Low,Structural Issue,SEBI Filings,2025-02-28 / 2025-01-28,Four state-level GST challenges (Ghaziabad, Bihar, Pune, Chandigarh) suggest company operates in complex indirect tax environment; typical for large India manufacturers but still risk,PEPI/Turnaround,Verified
46,Whirlpool of India,Registrar & Share Transfer Agent change (Link Intime to MUFG Intime) - shareholder servicing continuity,Operations & Governance,Low,Administrative,SEBI Filing,2026-01-03,RTA change effective Dec 31, 2024; addresses shareholder services - administrative efficiency improvement,Governance,Verified
47,Whirlpool of India,Secured 30-year brand license with competitive royalty rates - IP protection strong,Strategic Asset,Low,Positive,Brand Agreement Announcement,2026-02-12,Exclusive 30-year rights to use Whirlpool brand with competitive royalties; IP secured for long-term autonomy,Strategic Positive,Verified
48,Whirlpool of India,Technology access agreement secured for current & future major domestic appliance technologies,Strategic Asset,Low,Positive,Technology Agreement Announcement,2026-02-12,Access to current and future technologies for major domestic appliances via long-term agreement with Whirlpool Corp; innovation pipeline secured,Strategic Positive,Verified
49,Whirlpool of India,Global Technology Centre continuation through Mar 2029 - R&D capability preserved,Strategic Asset,Low,Positive,Technology Agreement Announcement,2026-02-12,Global Technology Centre operations continue until Mar 2029; R&D support bridge provided during autonomy transition,Strategic Positive,Verified
50,Whirlpool of India,Reference Glass Door & Auto Defrost Technology as heritage products - brand equity strong,Brand & Heritage,Low,Positive,Q3 Presentation & MD Filing,2026-02-12,Whirlpool described as pioneer introducing pedestals, auto-defrost, 3-door, India's first VA heater - heritage positioning strong in market,Strategic Positive,Verified
51,Whirlpool of India,Lapis Grande premium glass-door collection launch targeting luxury segment - premiumization executing,Product Innovation,Low,Positive,Q3 Presentation,2026-02-12,New Lapis Grande premium glass-door collection with luxury positioning (marble aesthetic, gold accents) launched - premium mix expanding,Strategic Positive,Verified
52,Whirlpool of India,Pride of India glass-door range with decorative patterns - aspirational consumer positioning,Product Innovation,Low,Positive,Q3 Presentation,2026-02-12,Pride of India glass-door range with green/maroon/gold patterns targets aspirational consumers - brand storytelling strong,Strategic Positive,Verified
53,Whirlpool of India,Frost-free 3-door new range with enhanced cooling features - product innovation pipeline active,Product Innovation,Low,Positive,Q3 Presentation,2026-02-12,New 3-door frost-free range with 360° enhanced cooling and 43% less cold air loss - innovation continues unabated,Strategic Positive,Verified
54,Whirlpool of India,Front-load washer market share triple-digit growth - category leadership emerging,Competitive Win,Low,Positive,Q3 Presentation,2026-02-12,Front-load washer market share growth in triple digits; consistent ++ + growth trend; 1.5X volume acceleration in CY 2025 - clear category win,Strategic Positive,Verified
