Rank,Company,Signal,Category,Severity,Status,Source,Date,Evidence,A&M_Service_Line,Confidence
11,Dixon,PLI Extension Discussions Status,Regulatory,High,Monitoring,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Government discussions initiated; mobile PLI extension possibilities being discussed; timing and terms uncertain; ₹150-200 Cr impact if not extended,PEPI,Estimated
12,Dixon,Inventory Build Due to GST Rate Reduction (Aug-Sept 2025),Demand/Pricing,High,Resolved,Q2 FY26 Earnings,2025-10-17,GST rate reduction mid-August led to customer purchase deferral; deferred ~₹1,000 Cr purchases from Aug-Sept to post-September; recovery driven TV/refrigerator volume post-Sep 22,CDD,Verified
13,Dixon,Energy Efficiency Norm Transition (Jan 2026 Enforcement),Regulatory,Medium,Ongoing,Q3 FY26 Earnings,2026-01-29,New energy efficiency norms effective Jan 26; refrigerator brands limiting inventory of old norm models; temporary demand moderation; recovery expected Q1 FY27,PEPI,Verified
14,Dixon,Margin Pressure from JV Startup Costs (FY26-27),Profitability,Medium,Expected,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Component JV startup costs compress margins to 3.0-3.5% near-term vs. historical 3.8%+ EBITDA; recovery expected Q1 FY27 post-ramp,Turnaround,Verified
15,Dixon,Vivo IV Approval Delays,Execution,Medium,Pending,Q2 FY26 Earnings,2025-10-17,Vivo IV PN3 approval process advancing well; slight delays possible from government approval side; not expected to be a blocker per management,Transaction Advisory,Verified
16,Dixon,Q Tech Consolidation Integration Timeline,Operational,Medium,In Progress,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,51% acquisition of Q Tech India; consolidating from Sept 25; financial integration underway; operational synergies ramping over 6-9 months,Turnaround,Verified
17,Dixon,Export Market Tariff Risk (US/EU),Regulatory,Medium,Monitoring,Q3 FY26 Earnings,2026-01-29,US export opportunity for telecom backhaul; EU FTA provides lighting JV tariff protection; US trade policy post-election uncertain; tariff risk FY27-28,PEPI,Estimated
18,Dixon,Inventec JV Facility Readiness (Q1 FY27),Execution,Medium,On Track,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,60:40 JV with Inventec; facility operational by Q1 FY27; mass production start Q2 FY27; manufacturing scaling dependent on facility handover,Turnaround,Verified
19,Dixon,Loncheer Volume Ramp Assumptions (8-18M Units),Market,Medium,Assumed,Q3 FY26 Earnings,2026-01-29,8-18M unit capacity at Loncheer facility; volume realization dependent on global OEM demand and supply chain stability; China+1 tailwind not guaranteed,CDD,Estimated
20,Dixon,Home Appliance Capacity Expansion Readiness,Execution,Medium,In Progress,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Refrigerator capacity expansion 1.2M → 2.5M units; washing machine facility Tirupati ready by Aug 25; front-load capacity ₹300K units by Q2 FY27,Turnaround,Verified
21,Dixon,Telecom Customer Order Book Visibility,Market,Medium,Partial,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Telecom segment 250%+ growth; US customer win significant; order book visibility limited; dependency on 5G FWA rollout pace,CDD,Verified
22,Dixon,IT Hardware Market Share Gains (HP; ASUS; Lenovo),Market,Medium,In Progress,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,HP production started Chennai; ASUS orders ramping; Lenovo order book picking up monthly; competition from other EMS players not disclosed,CDD,Verified
23,Dixon,Camera Module Market Capture (Q Tech),Market,Medium,In Progress,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Q Tech market position: top 5 global camera OEM; India in-house consumption 180-190M units target (2-3 years); addressable market ₹350-400M units globally; execution dependent,CDD,Verified
24,Dixon,Display Module Addressable Market Realization,Market,Medium,Assumed,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,HKC JV targets 55-60M units Phase 2 annual capacity; global addressable market estimated ₹1.5-2B units annually; India share capture uncertain,CDD,Estimated
25,Dixon,Signify JV Profitability Ramp (Lighting),Profitability,Medium,Early Stage,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,50:50 JV started Aug 25; order book robust; margin expansion dependent on scale and premium product mix; export ramp critical,PEPI,Estimated
26,Dixon,New Product Category Success (Washing Machines),Market,Medium,Execution,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Semi-automatic washing machine launched Q3; front-load facility ready Q2 FY27; new category execution and market acceptance not proven,CDD,Estimated
27,Dixon,Robotic Vacuum Cleaner Market Success (Eureka Forbes),Market,Medium,Early Stage,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Partnership with Eureka Forbes for robotic vacuum cleaners; production starting Dec 25; market size and customer receptivity assumptions,CDD,Estimated
28,Dixon,CAPEX Execution & Project Management (₹1,100-1,200 Cr),Operational,Medium,In Progress,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,₹1,100-1,200 Cr CAPEX guidance for components; 9 months: ₹720 Cr done; execution on schedule; inflation risk on construction costs,Turnaround,Verified
29,Dixon,Global Memory Supply Chain Resilience,Supply Chain,Medium,Ongoing,Q3 FY26 Earnings,2026-01-29,Memory prices spiking due to AI data center demand; smartphone memory constraints; Dixon expects price stabilization mid-2026; supply availability risk FY26,PEPI,Estimated
30,Dixon,Component Manufacturing Backward Integration Viability,Strategic,Medium,In Progress,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Core thesis: component manufacturing provides margin expansion and supply chain resilience; execution complexity high; global partnerships de-risk but require alignment,PEPI,Verified
31,Dixon,Loncheer Partnership Execution Risk,Relationship,Medium,Ongoing,Q3 FY26 Earnings,2026-01-29,Loncheer: 4th largest global smartphone brand; partnership critical to export scale-up; volumes depend on global brand health; China presence creates complexity,Transaction Advisory,Verified
32,Dixon,Ismartu Export Opportunity Realization,Market,Medium,In Progress,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Ismartu partnership for exports to Africa; volume commitments uncertain; government approval dependencies; export facility Tirupati planned,CDD,Estimated
33,Dixon,PLI Claim Realization Delays,Cash Flow,Medium,Monitoring,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Mobile PLI ₹1,400 Cr receivable outstanding (Q2); appraised till Sept 24; delayed government disbursement possible; cash flow timing risk,PEPI,Verified
34,Dixon,Supply Chain Concentration - Single Suppliers,Supply Chain,Low-Medium,Ongoing,Q3 FY26 Earnings,2026-01-29,Display panels historically imported; camera modules imported; backward integration reduces supplier concentration; execution timeline critical,PEPI,Estimated
35,Dixon,Competitive Intensity from Regional EMS Players,Market,Low-Medium,Ongoing,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Other Indian EMS players entering market; global EMS players (Foxconn; Pegatron) may enter India; pricing pressure possible,CDD,Estimated
36,Dixon,Technology Risk in Component Manufacturing,Operational,Low-Medium,Ongoing,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Backward integration requires new capabilities (display fab; camera optics; precision engineering); global partnerships de-risk; talent acquisition ongoing,Turnaround,Verified
37,Dixon,Promoter Shareholding Dilution,Governance,Low-Medium,Monitoring,Sovrenn MD,2026-02-14,Promoter shareholding ~42% (combined); no recent dilution; CCVL business sold to Aditya Infotech (now IPO with 6.5% stake in Aditya); no major dilution pressure,Governance,Verified
38,Dixon,CCTV Business Divesture Execution (Aditya Infotech),Strategic,Low,Completed,Q1 FY26 Earnings; Sovrenn MD,2025-07-22; 2026-02-14,50% stake in CCTV business sold to Aditya Infotech; now minority shareholder (6.5%); CCTV not strategic to core EMS/components,Transaction Advisory,Verified
39,Dixon,Government Approval Dependencies (Multiple JVs),Regulatory,Medium,Ongoing,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,PN3 approval required for Loncheer; PN3 approval Vivo IV in progress; ECMS approvals for camera/display/precision components pending; approval timelines uncertain,PEPI,Verified
40,Dixon,HKC Relationship Stability (Display JV),Relationship,Low-Medium,Stable,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,HKC is one of world's top 5 display fabs; 74:26 JV structure; strategic importance high; relationship stable; HKC committed to India expansion,Transaction Advisory,Verified
41,Dixon,Longheer Global Demand Volatility,Market,Low-Medium,Ongoing,Q3 FY26 Earnings,2026-01-29,Loncheer volumes dependent on global smartphone demand; post-iPhone launch cycle volatility possible; Dixon exposed to brand demand swings,CDD,Estimated
42,Dixon,Vivo Business Volume Stability,Market,Low-Medium,Ongoing,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Vivo India market share subject to competitive pressure from OnePlus; Xiaomi; Samsung; Dixon dependent on Vivo market performance,CDD,Verified
43,Dixon,New ODM Customer Identity & Dependency,Market,Low-Medium,Hidden,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,New ODM customer under NDA; scale 0.5M units/month target; identity not disclosed; concentration risk if large customer,CDD,Estimated
44,Dixon,China+1 Policy Sustainability,Macro,Low-Medium,Ongoing,Q3 FY26 Earnings,2026-01-29,China+1 supply chain shift driven by trade tensions and geopolitical concerns; if global tensions ease; India advantage erodes,PEPI,Estimated
45,Dixon,Digital Transformation Roadmap Execution,Operational,Low,In Progress,Q1 FY26 Earnings; Sovrenn MD,2025-07-22; 2026-02-14,New VP hired for strategy and digital transformation; roadmap not disclosed; organizational capability building ongoing,Turnaround,Estimated
46,Dixon,Talent Retention in Growth Phase,Organizational,Low,Ongoing,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Significant hirings (VP Strategy; Taiwan expert; Korean expert); talent retention in rapid expansion important; India tech talent market competitive,Governance,Estimated
47,Dixon,Manufacturing Location Concentration,Operational,Low,Mitigated,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Primary manufacturing in Noida (North); expansion to Tirupati (South); Loncheer/HKC/Inventec in South planned; geographic diversification reducing,Turnaround,Verified
48,Dixon,US Trade Policy Uncertainty (Post-Election),Macro,Low,Monitoring,Q3 FY26 Earnings,2026-01-29,US telecom backhaul opportunity dependent on India manufacturing competitiveness; tariff policy post-2025 elections uncertain; risk for FY27-28,PEPI,Estimated
49,Dixon,EU FTA Tariff Benefits Realization (Lighting),Regulatory,Low,Positive,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,EU FTA provides zero tariffs for lighting exports; Signify JV benefit; early-stage; execution depends on product ramp,PEPI,Verified
50,Dixon,Operating Leverage from Scale (Mobile),Profitability,Low,Ongoing,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Mobile EMS margin expansion dependent on scale beyond 55-60M units; diminishing returns at maturity; leverage limited without mix shift to components,PEPI,Estimated
51,Dixon,Bank Relationships & Debt Covenants,Financial,Low,Stable,Q3 FY26 Earnings,2026-01-29,Conservative balance sheet; net debt ₹246 Cr; D/E ratio 0.34x; debt covenants not explicitly disclosed; no covenant risk apparent,Governance,Estimated
52,Dixon,Dividend Policy & Capital Allocation,Financial,Low,Pending,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Significant capex planned (₹1,100-1,200 Cr); dividend policy not disclosed; capital allocation discipline demonstrated (no external dilution),Governance,Estimated
53,Dixon,Related Party Transaction Governance,Governance,Low,Stable,Sovrenn MD; Q2 & Q3 Earnings,2025-10-17; 2026-01-29,SEBI-compliant RPT disclosures; JV partnerships with global players (Signify; HKC; Loncheer; Inventec) transparent; no family conflicts apparent,Governance,Verified
54,Dixon,ESG Reporting & Disclosure,Governance,Low,Emerging,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,ESG metrics not disclosed in earnings calls; typical for India manufacturing companies; future regulatory requirements may mandate disclosure,Governance,Estimated
