Rank,Indicator,Signal,Status,Time Period,Severity Level,Severity Rationale,Evidence (Verbatim),Source Document,Line Reference
11,Capacity / Plant Utilization – Capital Investment,"Capital expenditure declined 60% from Rs.2125 Lakhs (FY24) to Rs.853 Lakhs (FY25); sharp reduction in a turnaround period may signal financial constraint or deferred investment risk",Watch,FY25,Medium,"Drastic capex compression during turnaround risks deferred maintenance, limited capacity for top-line scale-up, and product development lags; A&M would determine whether trough capex is tactical or reflects underlying cash generation constraint","CapEx: FY25 Rs.853 Lakhs vs FY24 Rs.2,125 Lakhs vs FY21 Rs.1,009 Lakhs",INTEGRATED_GOVERNANCE (AR FY21; AR FY25),"Section 3 – Capacity / Plant Utilization, Line 76"
12,Evidence Gaps – Governance Opacity,"All subsidiary financial reports for FY2020–FY2025 are classified as NOT FOUND; no subsidiary-level financial visibility available from any disclosed document",Watch,FY20–FY25 (all years),Medium,"Absence of subsidiary financials creates governance blind spots; in A&M diligence, undisclosed subsidiary performance is a red flag for potential hidden liabilities, cross-subsidization, or related-party exposures","All SUBSIDIARY_FINANCIAL reports FY20–FY25: NOT FOUND",Evidence Gaps Section (MD Intelligence Report),"Evidence Gaps Table, Line 382"
13,After-Sales Service Cost Signals – Revenue Leakage,"Authorized Service Centre (ASC) payout explicitly identified as a 'revenue drainage' risk in company risk documentation; cost quantum not disclosed; no remediation timeline provided",Negative,FY23 onwards,Medium,"Unquantified ASC revenue drain is a hidden cost leak in the distribution-to-service chain; A&M would conduct service network cost audit to size the drainage and redesign ASC payout structures for ROI-positive service delivery","Revenue drainage against ASC payout identified as a cost risk | Revenue drainage against ASC payout, we implemented the Call Closure...",INTEGRATED_GOVERNANCE (AR FY23 Risk Management / After-Sales Section),"Section 10 – After-Sales Service Cost Signals, Line 292"
14,After-Sales Service Cost Signals – Product Liability,"Warranty provision escalated to Rs.255.81 Lakhs in FY25 with H1 FY26 already adding Rs.80.73 Lakhs; run-rate trajectory suggests annualized FY26 provision exceeding FY25 levels",Watch,FY25; H1 FY26,Medium,"Growing warranty provisions signal potential product quality or reliability deterioration; A&M would assess root cause by category (mixer, stove, cooker), determine whether trend is systemic or isolated, and evaluate provision adequacy","Warranty provision H1 FY26: Rs.80.73 Lakhs; FY25 full year: Rs.255.81 Lakhs — Q2 FY26 Cash Flow Statement",QUARTERLY_FINANCIAL_REPORT (Q2 FY26 Cash Flow Statement),"Section 10 – After-Sales Service Cost Signals, Line 291"
15,Retail Footprint / Distribution – Outlet Contraction,"Active retail outlet count declined from 25,000+ (FY21–FY23) to 24,000+ (FY25); shrinkage in retail touchpoints during a period targeting pan-India expansion is structurally inconsistent",Watch,FY21–FY25,Medium,"Shrinking retail footprint during a stated pan-India expansion strategy is contradictory; risks loss of shelf presence in secondary and tertiary markets; A&M would investigate distributor ROI, outlet attrition cause, and channel health","590+ distributors; 24,000+ retail outlets (AR FY25) | 500+ exclusive distributors; 25,000+ retail points across the Indian map (Q3 FY22 Investor Presentation)",INTEGRATED_GOVERNANCE (AR FY25) · INVESTOR_ANALYST (Q3 FY22 Investor Presentation),"Section 11 – Retail Footprint / Distribution / Manpower Scale, Lines 319–320"
16,After-Sales Service Cost Signals – Pricing Pressure,"After-sales service charges revised upward in FY25; signal of cost-recovery pressure in the service network that may risk customer experience deterioration at a critical trust-building juncture",Watch,FY25,Medium,"Service charge revision during demand recovery risks triggering customer churn in a price-sensitive market; signals the service network is cash-negative and requires structural subsidy; A&M would model service business unit P&L","We have revised the after-sales service charge to maximise client satisfaction.",INTEGRATED_GOVERNANCE (AR FY25 Trends & Opportunities Section),"Section 10 – After-Sales Service Cost Signals, Line 287"
17,Cost Structure Strategy – Employee Cost Inflation,"Employee benefits expense grew +4.6% YoY in H1 FY26 (Rs.5,712 Lakhs vs Rs.5,463 Lakhs H1 FY25); fixed cost base expanding during a period of flat retail revenue and ongoing turnaround",Watch,H1 FY26,Medium,"Fixed employee cost inflation during modest revenue recovery compresses operating leverage and narrows EBITDA expansion headroom; A&M would assess headcount productivity ratios, span-of-control efficiency, and restructuring opportunity","H1 FY26: Rs.5,712 Lakhs employee costs vs Rs.5,463 Lakhs H1 FY25 (+4.6% YoY)",QUARTERLY_FINANCIAL_REPORT (Q2 FY26 Financial Statements),"Section 5c – Employee Cost, Line 156"
18,Evidence Gaps – Commodity Risk Governance,"No commodity hedging policy or financial instruments disclosed despite structural commodity exposure (stainless steel, aluminium, ABS) and demonstrated FY22 margin vulnerability from commodity spikes",Watch,All periods,Medium,"Unhedged commodity exposure with no disclosed mitigation policy is a significant financial risk; particularly alarming given steel single-sourcing (Rank 2) and proven FY22 margin compression; A&M would mandate a hedging governance framework","No hedging policy or instruments disclosed",Evidence Gaps Section (MD Intelligence Report),"Evidence Gaps Table, Line 381"
19,Evidence Gaps – Category P&L Visibility,"Category-level gross margins (mixer grinders vs gas stoves vs pressure cookers vs wet grinders) not disclosed in any document; prevents portfolio profitability assessment and category subsidization analysis",Watch,All periods,Medium,"Absence of category-level P&L prevents determination of which categories are value-creating vs loss-making or subsidy-dependent; foundational gap for A&M value-creation work stream design","Category-level gross margins (mixer vs stove vs cooker): NOT DISCLOSED",Evidence Gaps Section (MD Intelligence Report),"Evidence Gaps Table, Line 380"
20,Strategic Risks – Online Competition Intensity,"Company targeting 20–25% online channel mix (industry average) but faces strong domestic and global competition on e-commerce platforms requiring sustained and growing A&P investment",Watch,FY23–FY26 (ongoing),Medium,"E-commerce channel investment requires digital infrastructure, logistics, and platform partnerships; resource-intensive during margin recovery; A&M would assess digital capability maturity vs required investment for sustainable online market share","Quarterly business plans with a focus to strengthen Retail, Chain store, Modern trade and to maintain online channel mix at an industry average of 20-25%",INTEGRATED_GOVERNANCE (AR FY23 Risk Management),"Section 6 – Gross Margin Strategy – Channel Architecture, Line 201"
21,Evidence Gaps – Financial Transparency (FY24),"All four quarterly financial results for FY2024 — the worst financial year (EBITDA 2.94%) — are NOT FOUND; limits ability to trace intra-year performance deterioration and understand root causes",Watch,FY24,Medium,"Absence of quarterly data for the most distressed financial year prevents A&M from reconstructing the precise loss-of-profitability sequence and identifying whether the decline was front-loaded or evenly spread; critical for remediation design","All Q1–Q4 FY24 quarterly results: NOT FOUND",Evidence Gaps Section (MD Intelligence Report),"Evidence Gaps Table, Line 383"
22,Evidence Gaps – Financial Transparency (FY23),"All four quarterly financial results for FY2023 — the peak revenue year (Rs.1057 Cr) — are NOT FOUND; limits ability to trace revenue and margin dynamics at peak",Watch,FY23,Medium,"Data gap at peak revenue year limits benchmarking and prevents A&M from understanding the composition of FY23 revenue and whether peak was structurally sustainable or volume-inflated","All Q1–Q4 FY23 quarterly results: NOT FOUND",Evidence Gaps Section (MD Intelligence Report),"Evidence Gaps Table, Line 384"
23,Capacity / Plant Utilization – Transparency Gap,Exact plant capacity utilization percentage is not disclosed in any investor or governance document; only indirect signals (plant consolidation, stable energy consumption) available,Watch,All periods,Medium,"Undisclosed utilization % prevents assessment of fixed cost absorption efficiency, production flexibility, and manufacturing restructuring potential; A&M would require this as baseline operational data in any manufacturing cost restructuring engagement","Exact plant utilization % not disclosed in any document",Evidence Gaps Section (MD Intelligence Report),"Evidence Gaps Table, Line 378"
24,Gross Margin Strategy – Channel Transition Risk,"Gas dealer channel share reduced from ~30% to ~5% of revenue over 3 years; while debtors risk is reduced, replacement channel revenue is not fully established and retail channel remained flat at ~60%",Watch,FY19–FY22 (transition); FY25 (current),Low,"Managed channel exit reduces receivables risk but creates permanent volume displacement; net revenue impact is not fully recovered by alternate channels; A&M would assess total channel revenue gap and fill strategy adequacy","Gas dealer channel: 5% currently as compared to 30% 3 years ago | Business mix: Lower share of gas dealer channel business; 5% currently as compared to 30% 3 years ago | Retail channel accounts for ~60% of revenue, remained flat.",INVESTOR_ANALYST (Q3 FY22 Investor Presentation) · INTEGRATED_GOVERNANCE (AR FY25 MD&A),"Section 6 – Gross Margin Strategy – Channel Architecture, Line 199; Section 11 – Retail Footprint, Line 322"
25,Contract Manufacturing Strategy – Supply Chain Opacity,"Approximately 20% of production is outsourced but contract manufacturer names, capacities, and commercial dependency terms are not disclosed in any document",Watch,All periods,Low,"Undisclosed third-party supply chain partners in a 20% outsourcing model creates due-diligence opacity; A&M would map the hidden supply network to assess concentration, dependency, and termination risk","Names/identities of contract manufacturers not disclosed | Almost 80% of products manufactured in-house (implies ~20% contract sourced)",Evidence Gaps Section · INTEGRATED_GOVERNANCE (AR FY21 MD&A),"Section 9 – Contract Manufacturing Strategy, Line 264; Evidence Gaps Table, Line 379"
26,Operational Intelligence – Leadership Transition Risk,"Both Head of Manufacturing (effective January 2026) and Head of Downstream Marketing (effective December 2025) newly appointed simultaneously during active recovery phase; dual senior leadership transition",Watch,Q3 FY26,Low,"Concurrent onboarding of two critical function heads in manufacturing and marketing during a turnaround creates execution transition risk; A&M would assess role continuity, knowledge transfer protocols, and interim management coverage","Mr. Somasundaram P as Head of Manufacturing & Demand Planning of the Company... w.e.f. January 1, 2026 | Mr. Muthu Saravanan K as General Manager-Head Downstream Marketing... w.e.f. December 1, 2025",QUARTERLY_FINANCIAL_REPORT (Q2 FY26 Outcome / Board Resolution),"Section 2 – Operational Intelligence, Lines 55–56"
27,Operational Intelligence – Brand Strategy Execution Risk,"Full brand relaunch ('Celebrating Change' tagline; Idea First Series with 40+ new SKUs) executed simultaneously with financial recovery and leadership transition; brand ROI not yet demonstrated at scale",Watch,Q1 FY26 onwards,Low,"Brand repositioning requires sustained A&P investment; premature if operations are not yet fully stabilized; A&M would assess whether brand investment is compressing short-term margins without proportionate revenue lift and model ROI breakeven timeline","Introduced a refreshed brand positioning embodying the philosophy of 'Celebrating Change' | Rolled out 'Idea First Series' of products — over 40 SKUs - bringing to life its new brand positioning",QUARTERLY_FINANCIAL_REPORT (Q1 FY26 Press Release),"Section 2 – Operational Intelligence, Line 54"
28,Cost Structure Strategy – Structural Material Cost Floor,"Material cost has remained structurally at 58–62% of revenue across FY17–FY22 with no material structural reduction despite multiple operational efficiency programmes (Munnetram, SNOP, localization)",Watch,FY17–FY22 (multi-year),Low,"Structural material cost proportion with limited reduction trajectory despite years of focus signals a constrained gross margin ceiling; A&M would model commodity sensitivity and assess whether product mix shift can sustainably alter the cost structure","Material cost: FY17 60.7%, FY18 58.1%, FY19 59.6%, FY20 57.3%, FY21 58.2%, Q3 FY21 58.3%, Q3 FY22 60.1%",INVESTOR_ANALYST (Q3 FY22 Investor Presentation),"Section 5a – Direct vs Indirect Costs, Lines 128–133"
29,Evidence Gaps – Innovation Investment Transparency,"Absolute R&D expenditure not disclosed in any annual report or investor document despite claims of strong R&D capabilities, in-house design studio, and industry-first product milestones",Watch,All periods,Low,"Undisclosed R&D spend prevents assessment of innovation investment adequacy vs competition; A&M would use this to evaluate whether product pipeline is sustainably funded and to benchmark against industry peers","Absolute R&D spend not disclosed",Evidence Gaps Section (MD Intelligence Report),"Evidence Gaps Table, Line 387"
30,Cost Structure Strategy – CSR Spend Declining,"CSR expenditure declined 29% from Rs.107.59 Lakhs (FY24) to Rs.76.50 Lakhs (FY25); may reflect financial pressures or reprioritization during turnaround",Watch,FY24–FY25,Low,"Declining CSR spend may reflect financial constraint rather than strategic choice; limited direct A&M turnaround relevance but noted as a governance signal and potential ESG reputational risk","CSR spend: Rs.76.50 Lakhs (FY25) vs Rs.107.59 Lakhs (FY24)",INTEGRATED_GOVERNANCE (AR FY25 KPIs),"Section 5f – Sustainability Cost Initiatives, Line 173"
31,Gross Margin Strategy – EBITDA Recovery Trajectory,"EBITDA margin recovering from 2.94% trough (FY24) to 7.55% (FY25) to 9.5% (Q2 FY26); 651 bps recovery in 6 quarters driven by pricing actions, A&P ROI discipline, and channel optimization",Positive,FY24–Q2 FY26,Informational,"Demonstrates management's ability to execute cost and pricing interventions; positive signal but recovery is still partial and fragile given flat retail revenue; sustainability requires corroboration over additional quarters","FY24 EBITDA 2.94%; FY25 7.55%; Q2 FY26 9.5% | EBITDA margin expanded by 351 bps via frugal approach to investments and ROI-led A&P",INTEGRATED_GOVERNANCE (AR FY25) · QUARTERLY_FINANCIAL_REPORT (Q1/Q2 FY26),"Section 4 – Pricing Strategy, Line 115; Section 6 – Gross Margin Strategy, Line 366"
32,Pricing Strategy – Material Margin Recovery,"Material margin recovered to 41.0% in Q1 FY26 (+320 bps YoY) and 37.8% in Q2 FY26 (+50 bps YoY); recovery driven by ASP improvement and channel mix optimization",Positive,Q1–Q2 FY26,Informational,"Evidence of pricing power restoration and commodity cost stabilization; positive signal indicating management is regaining control over cost-price dynamics post the FY22 commodity shock","Q1 FY26 Material Margin: 41.0% vs 37.8% (+320 bps YoY); Q2 FY26: 37.8% vs 37.3% (+50 bps YoY) — Q1/Q2 FY26 Press Releases",QUARTERLY_FINANCIAL_REPORT (Q1 FY26 and Q2 FY26 Press Releases),"Section 4 – Pricing Strategy and Commodity Cost Impact, Line 114"
33,Market Share Trend – Core Category Gains,"Market share gains in core categories reported in Q1 FY26; all core categories delivered double-digit growth in Q2 FY26; Idea First Series gaining traction on E-com and Modern Trade",Positive,Q1–Q2 FY26,Informational,"Positive signal of competitive recovery; however, A&M notes gains are on a depressed base and must be sustained for multiple quarters before structural market share improvement can be confirmed","Market share gains in core categories driven by execution and channel recovery | All core categories delivered double-digit growth, supported by sustained volume growth and new product launches",QUARTERLY_FINANCIAL_REPORT (Q1 FY26 and Q2 FY26 Press Releases),"Section 8 – Market Share Gain/Loss Trends, Lines 252–254"
34,Industry vs Company Growth – Historical Outperformance,"Company delivered 21% Revenue CAGR between FY17–FY21 versus Indian household appliances industry CAGR of 5.65% (FY23–28); demonstrating historical ability to significantly outgrow the market",Positive,FY17–FY21,Informational,"Demonstrates the company has structural competitive capability when operations are aligned; serves as baseline for A&M to benchmark recovery potential and identify what changed post-FY21","Revenue CAGR FY17-21: 21% | India Household Appliances market CAGR: 5.65% (FY23–28)",INVESTOR_ANALYST (Q3 FY22 Investor Presentation) · INTEGRATED_GOVERNANCE (AR FY23 MD&A),"Section 1 – Industry vs Company Growth, Lines 12 and 29"
35,Localization Strategy – Domestic Manufacturing Strength,"~80% in-house manufacturing with an active multi-year localization programme; Rs.45 Lakhs cost savings in FY25; no technology imported; import-to-domestic substitution underway for key components",Positive,FY21–FY25,Informational,"Strong domestic manufacturing base reduces import dependency and supply chain risk; localization programme demonstrates operational capability for structural cost reduction; A&M would assess further localization headroom","Almost 80% of products manufactured in-house | Localisation has helped to reduce cost by Rs.45 Lakhs during the year. | No technology imported.",INTEGRATED_GOVERNANCE (AR FY21 MD&A; AR FY25 Supply Chain),"Section 7 – Localization Strategy, Lines 227–229"
36,Cost Structure Strategy – Finance Cost Near-Zero,"Finance costs reduced to near-zero: Rs.518.68 Lakhs in FY25 versus Rs.23 Cr in FY17; long-term debt eliminated; debt-equity ratio 0.04x",Positive,FY21–FY25,Informational,"Significantly strengthened balance sheet with no debt burden; eliminates financial distress risk and provides headroom for Crompton-backed investment in turnaround initiatives; a key enabler for A&M-led recovery","Finance costs FY25 Rs.518.68 Lakhs vs Rs.23Cr FY17 | Debt – Equity Ratio: FY21 0.12, FY25 0.04",INTEGRATED_GOVERNANCE (AR FY25 Financial Performance) · INVESTOR_ANALYST (Q3 FY22),"Section 5a – Direct vs Indirect Costs, Line 133; Section 5e – Field Force, Line 167"
37,Retail Footprint – Working Capital Improvement,"Debtors days improved from 77 (FY18) to 30 (FY21) via real-time inventory tracking and bill discounting facility; working capital days reduced from 106 (FY19) to 36 (FY21)",Positive,FY18–FY21,Informational,"Significant working capital improvement demonstrates operational execution capability; creates cash generation headroom and reduces financial risk; A&M would use FY21 benchmark as the recovery target for working capital optimization","Debtors Days: 77 (FY18) → 30 (FY21) via real-time inventory tracking | Bill discounting facility: Rs.33.1 Cr reduction in debtors; can go up to Rs.50 Cr",INVESTOR_ANALYST (Q3 FY22 Investor Presentation),"Section 6 – Gross Margin Strategy – Revenue Management, Lines 206–208; Section 11 – Retail Footprint, Lines 324–325"
38,Cost Structure Strategy – Inventory Optimization,"Slow-moving and non-moving inventory reduced by 86% in FY25; procurement savings of 0.6% annually; SNOP-driven demand-supply balancing implemented",Positive,FY25,Informational,"Demonstrates effective inventory rationalization capability; frees working capital and reduces obsolescence risk; A&M would assess whether improvement is sustainable or one-time and model normalized inventory carrying costs","Slow-moving and non-moving inventory was also lowered by 86%. | Procurement yearly savings through Optimised Procurement: 0.6%",INTEGRATED_GOVERNANCE (AR FY25 Supply Chain Section),"Section 5d – Process Cost / Operational Excellence, Lines 161–162"
39,Cost Structure Strategy – Operational Excellence Programme,"Project Munnetram cross-functional cost optimization programme delivered Rs.1.5 Cr savings; SNOP process implemented; A&P restructured to ROI-led model delivering +351 bps EBITDA expansion",Positive,FY23–FY25,Informational,"Demonstrated operational improvement capability; positive signal that management has institutional capacity for structured cost optimization; however, absolute savings quantum (Rs.1.5Cr on Rs.865Cr revenue) is modest and A&M would assess scalability","savings of Rs.1.50 crore in the previous FY | ROI-led A&P to expand EBITDA margin by 351 bps",INTEGRATED_GOVERNANCE (AR FY23 Risk Management; AR FY25),"Section 5d – Process Cost / Operational Excellence, Line 159; Section 5e – Field Force, Line 167"
40,Localization Strategy – Technology Self-Reliance,No technology has been imported across all years documented; company is fully self-reliant on in-house technology development with a dedicated R&D facility and team of 15 designers,Positive,All periods,Informational,"Self-reliant technology base eliminates external technology dependency and license costs; protects IP internally; A&M would assess R&D effectiveness and whether self-reliance is sufficient to drive competitive product differentiation","The details of technology imported - No technology has been imported.",INTEGRATED_GOVERNANCE (AR FY25 Annual Report),"Section 7 – Localization Strategy, Line 229"
41,After-Sales Service Cost Signals – Service Network Scale,"280+ service centres and 700+ trained service technicians across India; CRM system implemented; WhatsApp chatbot deployed with 80% complaint resolution within 24 hours; doorstep service for mixer grinders",Positive,FY23–FY25,Informational,"Scale of service network is a competitive moat and brand trust builder; acknowledged by e-commerce partners for industry-leading turnaround time; A&M would assess cost-per-service-event and monetization opportunity","Over 280 service centres and over 700 trained service technicians across India | WhatsApp chatbot: 10-second wait; 80% resolution within 24 hours",INTEGRATED_GOVERNANCE (AR FY23 After-Sales Section),"Section 10 – After-Sales Service Cost Signals, Lines 286–290"
42,Retail Footprint / Distribution – Workforce Diversity,"35% female workforce recorded as of FY23 (record level); 1323 permanent and 1788 contractual employees (FY21); workforce diversity cited as a strategic HR initiative post-Crompton acquisition",Positive,FY23,Informational,"Workforce diversity milestone is a positive ESG signal; limited direct A&M turnaround relevance but indicates cultural transformation progress post Crompton integration; noted as informational","a record 35% female workforce and 24% excluding off roll employees",INTEGRATED_GOVERNANCE (AR FY23 HR Section),"Section 11 – Retail Footprint / Distribution / Manpower Scale, Line 326"
43,Strategic Signals Summary – Growth Opportunity,"Pan-India expansion opportunity via Crompton Greaves distribution synergies; company currently at ~5% pan-India share versus ~15% in South; Crompton network provides ready-made distribution leverage across North and West India",Positive,FY23–FY26 onwards,Informational,"Largest identified growth opportunity in the dataset; if integration is executed effectively, Crompton's pan-India network could catalyze rapid share gains without proportionate distribution investment; A&M would assess integration readiness and go-to-market blueprint","Pan-India market share expansion via Crompton distribution synergies (currently ~5% pan-India vs ~15% South) | Leveraging its position as an integrated kitchen appliance manufacturer... target high-potential markets in the North and Western regions by utilising the distribution and branding synergies gained from Crompton Greaves Consumer Electricals Limited.",INTEGRATED_GOVERNANCE (AR FY23 MD&A Outlook; AR FY25 MD&A),"Strategic Signals Summary – Key Opportunities, Lines 338–344"
