Rank,Indicator,Signal,Status,Time Period,Severity Level,Severity Rationale,Evidence (Verbatim),Source Document,Line Reference
11,Gross Margin Strategy — Volume vs Margin,"ECD segment margin compressed from 11.1% to 10.0% — 110bps erosion in second-largest segment by product breadth",negative,FY25,High,"ECD covers fans, water heaters, and appliances — broad product base experiencing margin pressure despite 15.2% revenue growth. Growth not translating to proportional profit. A&M opportunity: ECD margin recovery, product-level profitability analysis.",Segment-wise revenue growth and margin data (Annual Report),Annual Report FY25,Section 6a
12,Process Cost,"Working capital elevated for cables and Lloyd segments in Q2 FY26 — expected to normalize by Q4",negative,Q2 FY26,High,"Working capital elevation in the two largest and fastest-growing segments ties up cash and signals supply-demand mismatch. A&M opportunity: working capital optimization, cash conversion cycle improvement.","Working capital elevated for cables and Lloyd; expected to normalize by Q4",Q2 FY26 Transcript,Section 5d
13,Pricing Strategy,"Copper at Rs 13,000/ton with continuous price increases and lagged pass-through to market creates margin timing exposure",watch,Q3 FY26,High,"Commodity pass-through timing lag means margin compression during price run-ups before recovery. With copper continuously increasing, the risk is persistent. A&M opportunity: pricing strategy optimization, pass-through acceleration.","Copper at Rs 13,000/ton (Jan 2026); continuous price increases; passes on to market over time | Margin outlook: Calibrated price hikes + cost rationalization + productivity improvement = balanced growth & profitability",Q3 FY26 Transcript,Section 4
14,Strategic Signals — Key Risk #9,"Solar margins (early double digit to high single digit) are lower than core segments and could dilute blended margins during scale-up phase",watch,FY25-FY27,High,"Solar is being scaled from Rs 420-500 Cr to Rs 1,000-1,500 Cr target. At high-single to low-double digit margins vs core segments at 10-22%, rapid scaling dilutes blended profitability. A&M opportunity: solar unit economics optimization.","Solar business: Rs 420-500 crores FY25; target Rs 1,000-1,500 crores in next couple of years",Q1 FY26 Transcript,Strategic Signals — Key Risks #9
15,Sales Schemes,"Consumer schemes deployed for Lloyd to clear elevated channel inventory; residual old BEE inventory in ACs and fans still to clear",negative,Q2-Q3 FY26,Medium,"Tactical promotions to clear inventory signal demand-supply mismatch. BEE transition creating residual old-inventory overhang. A&M opportunity: channel strategy optimization, inventory clearance playbook.","Consumer schemes for Lloyd to clear inventory (above contribution margin); now withdrawn post GST changes | Residual old BEE inventory in ACs and fans to clear in coming months | Lloyd channel inventory normalizing; season starts Feb (South) and March (North)",Q2 FY26 Transcript; Q3 FY26 Transcript,Section 6b
16,Market Share,"Cables market share lagging due to capacity constraint — supply limitation ceding share to competitors",negative,Q3 FY26,Medium,"Capacity constraints directly limiting market share gains in a high-demand category. Competitors capturing share that Havells cannot serve. A&M opportunity: capacity ramp acceleration, interim supply strategies.","Cables: domestic wires share intact; cables lagging because waiting for full capacity",Q3 FY26 Transcript,Section 8
17,Strategic Signals — Key Risk #4,"Regional brand competition: regional brands gaining ground during hyperinflationary periods in FMEG categories",watch,Q3 FY26,Medium,"Regional brands taking share during commodity inflation cycles when price-sensitive consumers trade down. Recurring competitive threat in mass-market categories. A&M opportunity: competitive response strategy, value-segment positioning.","FMEG category: Cycles exist but India demographics support long-term demand; regional brands gaining some ground in hyperinflationary periods",Q3 FY26 Transcript,Strategic Signals — Key Risks #4
18,Market Share,"Fan segment saw mid-single digit degrowth in Q2 FY26 — market-wide phenomenon due to weak summer but exposes seasonal concentration",negative,Q2 FY26,Medium,"Fans are a key ECD category experiencing volume decline. Seasonal sensitivity combined with BEE transition creates near-term pressure. A&M opportunity: demand smoothing, counter-seasonal portfolio balancing.","Fans: mid-single digit degrowth",Q2 FY26 Transcript,Section 8
19,Pricing Strategy,"BEE norm transition requires 5-10% price hike in ACs and fans — offset by GST reduction but creates transition execution risk",watch,Q3 FY26,Medium,"Regulatory pricing transition requires careful consumer communication and channel management. Price hike-GST offset must be executed simultaneously to maintain demand. A&M opportunity: pricing transition execution advisory.","BEE norm transition: 5-10% price hike required (offset by GST reduction, so consumer price ~flat) | GST reduction on AC, TV, solar - welcome step",Q3 FY26 Transcript; Q2 FY26 Transcript,Section 4
20,Operational Intelligence,"Rs 600 crores Goldi Solar investment — new untested business vertical with execution risk",watch,Q1 FY26,Medium,"Large capital commitment in an adjacent business (solar modules + cell backward integration) outside core competency. Revenue target Rs 1,000-1,500 Cr is ambitious. A&M opportunity: solar business strategy validation, integration advisory.","Q1 investments: Rs 600 crores in Goldi Solar for renewable sector | Solar business: Rs 420-500 crores FY25; target Rs 1,000-1,500 crores in next couple of years",Q1 FY26 Transcript,Section 2
21,Gross Margin Strategy — Volume vs Margin,"Switchgears growth at only 6.7% — slowest growth in highest-margin segment (22.5% margin) suggests limited volume upside in profit anchor",watch,FY25,Medium,"The most profitable segment is the slowest growing. If switchgears continues to grow below company average, its share of profit mix declines over time. A&M opportunity: switchgear growth acceleration strategy.","Switchgear contribution margin target: 38-40%",Q1 FY26 Transcript,Section 6a
22,Field Force / Sales Productivity,"Field force productivity metrics NOT DISCLOSED — revenue per salesperson, calls per day, conversion rates unknown",not_disclosed,FY25,Medium,"Large distribution network (19.4K dealers, 2.68L retailers, 3.01L electricians) with no disclosed productivity metrics. Indicates potential measurement gap. A&M opportunity: sales force effectiveness assessment.",Not Provided,Annual Report FY25,Section 5e
23,Channel Architecture,"Higher channel inventories were a challenge in Q2 FY26 with normalization expected by end of Q3",negative,Q2 FY26,Medium,"Channel inventory build-up across a 6-brand, multi-tier distribution network suggests demand forecasting gaps. A&M opportunity: demand planning, S&OP process improvement.","Higher channel inventories - working closely with channel to normalize by Q3",Q2 FY26 Transcript,Section 6c
24,Pricing Strategy,"LED prices in deflationary cycle (now plateauing) — Lighting segment grew only 1.6% in FY25",watch,FY25,Medium,"Lighting at 7.6% of revenue saw near-flat growth amid LED price deflation. Plateauing prices may stabilize but growth outlook is muted. A&M opportunity: lighting portfolio revitalization.","LED price deflation but prices plateauing; industry-leading margins maintained | LED price stabilization; initial pickup in residential demand",Q1 FY26 Transcript; Q2 FY26 Transcript,Section 4
25,Field Force / Sales Productivity,"Rural sales represent only 5-6% of consumer product revenues — low penetration in large addressable market",watch,Q1 FY26,Medium,"Minimal rural presence despite massive distribution network. REO brand at 25% rural revenue is the primary rural play. A&M opportunity: rural go-to-market strategy, distribution expansion.","Rural sales: 5-6% of consumer product revenues, growing faster than urban | REO brand: 25% from rural areas",Q1 FY26 Transcript,Section 5e
26,Direct vs Indirect Costs,"Brand building investment Rs 622 Cr and R&D Rs 258 Cr represent Rs 880 Cr in strategic cost commitments (4% of revenue) — effectiveness not measurable from disclosed data",watch,FY25,Medium,"Rs 880 Cr annual spend on brand and R&D with no disclosed ROI metrics. A&M opportunity: marketing and R&D effectiveness measurement, spend optimization.","Brand building investment: Rs 622 crores | R&D spend: Rs 258 crores",Annual Report FY25,Section 5a
27,Evidence Gap — Contract Manufacturing,"Contract manufacturing strategy NOT DISCLOSED — % of production outsourced, contract manufacturer names unknown",not_disclosed,FY25,Medium,"Lack of transparency on make-vs-buy decisions limits visibility into cost structure flexibility and supply chain resilience. A&M opportunity: manufacturing strategy assessment.","Manufacturing units: 16 | Active vendors: 8,826",Annual Report FY25,Section 9
28,Evidence Gap — After-Sales Service Cost,"After-sales service cost data NOT DISCLOSED — total cost, cost per call, warranty provisions unknown",not_disclosed,FY25,Medium,"Service costs are undisclosed despite strong service quality metrics (NPS 70, 80%+ resolution in 24hrs). Hidden cost center in a multi-category consumer durables company. A&M opportunity: service cost benchmarking.","After-sales: 80%+ calls resolved within 24 hours; 24/7 service registration | Net Promoter Score: 70",Annual Report FY25,Section 10
29,Evidence Gap — Working Capital Days,"Working capital days (debtors, creditors, inventory days) NOT DISCLOSED — elevated status noted but specific days not provided",not_disclosed,FY25-FY26,Medium,"Working capital reported as elevated for key segments but no specific days disclosed. Limits ability to benchmark against peers. A&M opportunity: working capital diagnostic.",Not Provided,Annual Report FY25,Evidence Gaps #8
30,Evidence Gap — Market Share Percentages,"Specific market share percentages by category NOT DISCLOSED — only directional claims (maintained/gained)",not_disclosed,Q3 FY26,Medium,"Management claims market share gains without quantification. Unverifiable. A&M opportunity: competitive intelligence, market share validation.",Not Provided,Q3 FY26 Transcript,Evidence Gaps #4
31,Evidence Gap — E-commerce Revenue,"E-commerce channel revenue contribution NOT DISCLOSED",not_disclosed,FY25,Low,"Modern retail and e-commerce described as growing channels but no revenue share disclosed. A&M opportunity: digital channel strategy assessment.","Modern format retail and e-commerce pickup in Q4",Q2 FY26 Transcript,Evidence Gaps #5
32,Evidence Gap — International Revenue,"International revenue contribution (% of total) NOT DISCLOSED",not_disclosed,FY25,Low,"International expansion mentioned for cables, switchgears, and Lloyd ACs but no revenue quantum disclosed. A&M opportunity: international strategy assessment.","International: Key growth in cables, switchgears, Lloyd ACs",Q2 FY26 Transcript,Evidence Gaps #9
33,Evidence Gap — A&P Spend Split,"Advertising & promotion spend split by brand/category NOT DISCLOSED — only noted as flat and demand-driven",not_disclosed,Q3 FY26,Low,"A&P allocation across 6 brands and 20 categories unknown. Cannot assess spend efficiency per brand. A&M opportunity: marketing spend optimization.","A&P spend: broadly flat, across the board, demand-driven not category-specific",Q3 FY26 Transcript,Evidence Gaps #7
34,Evidence Gap — Product-Level Margins,"Product-level or SKU-level margin data NOT DISCLOSED",not_disclosed,FY25,Low,"With 20,000+ SKUs, product-level profitability is critical for portfolio optimization. A&M opportunity: SKU-level profitability analysis.",Not Provided,Annual Report FY25,Evidence Gaps #10
35,Evidence Gap — Lloyd Market Share,"Lloyd market share in ACs and washing machines NOT DISCLOSED",not_disclosed,FY25,Low,"Lloyd is 23.6% of revenue but no specific market share data provided. A&M opportunity: competitive positioning assessment.",Not Provided,Annual Report FY25,Evidence Gaps #13
36,Evidence Gap — Solar P&L,"Solar segment standalone P&L details NOT DISCLOSED — margins noted as early double digit to high single digit only",not_disclosed,FY25,Low,"Rs 600 Cr investment with limited financial visibility. A&M opportunity: solar unit economics deep-dive.",Not Provided,Annual Report FY25,Evidence Gaps #15
37,Evidence Gap — Raw Material Breakdown,"Raw material cost breakdown beyond copper NOT DISCLOSED",not_disclosed,FY25,Low,"Only copper exposure quantified. Other raw materials (aluminium, steel, plastics) undisclosed. A&M opportunity: procurement strategy advisory.",Not Provided,Annual Report FY25,Evidence Gaps #6
38,Evidence Gap — Customer Acquisition Cost,"Customer acquisition cost or cost-to-serve by channel NOT DISCLOSED",not_disclosed,FY25,Low,"No channel-level cost-to-serve data despite multi-tier distribution. A&M opportunity: channel economics analysis.",Not Provided,Annual Report FY25,Evidence Gaps #14
39,Industry vs Company Growth,"Havells delivered 17.2% consolidated revenue growth in FY25 (Rs 21,746 Cr vs Rs 18,550 Cr) significantly outpacing industry",positive,FY25,Low,"Strong outperformance vs industry indicates robust execution. Lower A&M turnaround opportunity but validates company as a platform for growth advisory.","Revenue: Rs 21,746 crores (FY25) vs Rs 18,550 crores (FY24) - 17.2% growth",Annual Report FY25,Section 1
40,Industry vs Company Growth,"Q3 FY26 revenue grew 14% YoY with EBITDA up 21% — operating leverage emerging",positive,Q3 FY26,Low,"EBITDA growth outpacing revenue growth confirms operating leverage thesis. Positive signal — lower A&M turnaround opportunity.","Revenue grew 14% YoY; EBITDA up 21% YoY",Q3 FY26 Transcript,Section 1
41,Operational Intelligence,"Management guided 150-200bps margin expansion with normal growth; Havells standalone EBITDA margins at 12-13% expected to improve further",positive,Q2 FY26,Low,"Clear margin expansion guidance indicates management confidence. Positive signal.","150-200bps margin expansion possible with normal growth (confirmed by management) | Havells standalone EBITDA margins: 12-13%, expected to improve further",Q2 FY26 Transcript,Section 2
42,Cost Structure — Employee Cost,"Employee cost stable at Rs 460-490 Cr/quarter for 7 consecutive quarters — structural operating leverage against 14-17% revenue growth",positive,Q3 FY26,Low,"Fixed employee cost base against growing revenue is a strong margin expansion driver. Positive signal.","Employee cost: Stable around Rs 460-490 crores/quarter for 7 quarters | Havells built talent pipeline over 5 years, now expects operating leverage",Q3 FY26 Transcript,Section 5c
43,Localization Strategy,"Import dependency reduced to less than 8% of total sourcing with backward integration and dual sourcing strategies",positive,Q1 FY26,Low,"Strong localization insulates from currency and supply chain risks. Positive signal.","Import dependency reduced to less than 8% of total sourcing | Domestic tie-up with GMCC for compressor supplies | Risk: Import dependency <8%; Backward integration assessed; Dual sourcing; Localisation of import parts",Q1 FY26 Transcript; Annual Report FY25,Section 7
44,Market Share,"Maintained or gained market share in most categories; lighting growth better than competition; water heaters and SDA ahead of industry",positive,Q3 FY26,Low,"Broad-based share gains indicate competitive strength. Positive signal.","Market share: maintained or gained in most categories (lighting growth better than competition; water heaters, SDA ahead of industry)",Q3 FY26 Transcript,Section 8
45,Distribution Scale,"Massive distribution network: 19,400 dealers, 2.68 lakh retailers, 3.01 lakh electricians across 6 brands, 20 categories, 20,000+ SKUs",positive,FY25,Informational,"Scale of distribution is a competitive moat. Informational — indicates strong market positioning.","Dealers: ~19,400; Retailers: 2.68 lakhs; Electricians: 3.01 lakhs | Product categories: 20; Brands: 6; Active SKUs: 20,000+",Annual Report FY25,Section 11
46,After-Sales Service,"NPS of 70 and 80%+ calls resolved within 24 hours with 24/7 service registration",positive,FY25,Informational,"Strong customer satisfaction metrics. Informational signal.","After-sales: 80%+ calls resolved within 24 hours; 24/7 service registration | Net Promoter Score: 70",Annual Report FY25,Section 10
47,Sustainability,"Solar energy generated (15,305 MWh) near-matches renewable consumption (15,135 MWh); 104 patents granted with 77 new applications FY25",positive,FY25,Informational,"ESG compliance and innovation metrics. Informational.","Solar energy generated: 15,305 MWh; Renewable energy consumed: 15,135 MWh | Patents: 104 granted; 77 applied FY25; Designs: 211 applied FY25",Annual Report FY25,Section 5f
48,Cost Strategy Direction,"Fixed cost leverage + premiumization strategy: stable employee costs, front-loaded R&D (Rs 258 Cr) and brand investment (Rs 622 Cr), aggressive capex (Rs 1,450 Cr FY26)",positive,FY25-FY26,Informational,"Strategic direction is investment-led growth rather than cost-cutting. Informational — frames the margin expansion thesis.","Capex: Rs 798 crores (FY25); Planned Rs 1,450 crores (FY26), Rs 1,000 crores (FY27) | Brand building investment: Rs 622 crores | R&D spend: Rs 258 crores",Annual Report FY25,Strategic Signals — Cost Strategy
49,Market Position Direction,"Consolidating as full-portfolio electrical + consumer electronics + renewable energy platform with Rs 3,353 Cr cash reserves",positive,FY25,Informational,"Strategic positioning signal. Cash reserves provide expansion firepower. Informational.",Not Provided,Annual Report FY25,Strategic Signals — Market Position
