Rank,Indicator,Signal,Status,Time Period,Severity Level,Severity Rationale,Evidence (Verbatim),Source Document,Line Reference
30,Retail Distribution,"20,000-25,000 channel partners with 33% ecommerce growth and Blue Star 360 digital platform",positive,FY25,"Informational","Comprehensive distribution infrastructure with digital overlay provides scale advantage","20,000-25,000 channel partners | Online sales grew 33% in FY25 | Blue Star 360 unified dealer platform",Q1 FY26 Transcript / Annual Report FY25,Section 11
31,Employee Cost,"3,418 management staff with attrition reduced to 15% from 15.6%",positive,FY25,"Informational","Improving retention metrics despite leadership churn at senior levels","3,418 management staff, 21% Gen Z, 10.4% women, attrition reduced to 15% (from 15.6%)",Annual Report FY25,Section 5c
32,Sustainability Cost,"4.69 MWp solar capacity, ~15% renewable energy, Net Zero certifications",positive,FY25,"Informational","ESG investments are ongoing but modest relative to overall capital allocation","4.69 MWp solar capacity; ~15% renewable energy | Net Zero certifications at Wada, Sri City offices",Annual Report FY25,Section 5f
33,Capacity Utilization,"Plant-level capacity utilization rates not disclosed",not_disclosed,FY25-FY26,"Informational","Inability to assess manufacturing efficiency or headroom — a key analytical gap for any cost optimization exercise",Not Provided,N/A,Section 3
34,Cost Structure — Employee Cost,"Absolute employee cost as percentage of revenue not disclosed",not_disclosed,FY25-FY26,"Informational","Cannot model operating leverage dynamics fully without employee cost data",Not Provided,N/A,Section 5c
35,Contract Manufacturing,"Contract manufacturing arrangements and percentage of outsourced production not disclosed",not_disclosed,FY25-FY26,"Informational","Cannot assess production flexibility and supply chain risk comprehensively",Not Provided,N/A,Section 9
36,Pricing Strategy,"Specific commodity cost movements and hedging strategy not disclosed",not_disclosed,FY25-FY26,"Informational","Cannot model input cost trajectory or margin sensitivity to commodity prices",Not Provided,N/A,Section 4
37,After-Sales Service,"NPS scores, service resolution times, cost per service call, warranty claims rate not disclosed",not_disclosed,FY25-FY26,"Informational","Cannot assess service quality trends or after-sales cost efficiency",Not Provided,N/A,Section 10
38,Gross Margin — Sales Schemes,"Advertising spend as percentage of revenue not disclosed",not_disclosed,FY25-FY26,"Informational","Cannot model marketing ROI despite management admitting spend discipline failure",Not Provided,N/A,Section 6b
39,Cost Structure — Direct vs Indirect,"Working capital days breakdown (receivables, payables, inventory separately) not disclosed",not_disclosed,FY25-FY26,"Informational","Limited cash conversion cycle analysis despite net cash to net borrowing shift",Not Provided,N/A,Section 5a
40,Market Share,"Market share by AC tonnage/type (split, window, inverter, fixed-speed) not disclosed",not_disclosed,FY25-FY26,"Informational","Cannot assess product-level competitive position within the ~14% overall RAC share",Not Provided,N/A,Section 8
