Rank,Indicator,Signal,Status,Time Period,Severity Level,Severity Rationale,Source Document,Line Reference
11,Cost Structure,Interest coverage ratio deteriorated from 3.7x (FY24) to 3.1x (FY25); likely below 1x on annualized FY26 basis given operating losses,Negative,FY24–FY25 and FY26,High,"At 3.1x in FY25, the company was already near the boundary of comfortable debt serviceability. Operating losses in FY26 imply interest coverage has turned negative — a covenant breach risk and potential credit event trigger. A&M engagement window is now.",Annual Report FY2024-25 (86th Annual Report),Section 5 — Financial Ratios Table
12,Gross Margin Strategy,Consumer Products PBIT collapsed from Rs. 247 crores (FY23) to Rs. 114 crores (FY24) — -54% YoY; only partially recovered to Rs. 253 crores EBITDA in FY25,Negative,FY23–FY25,High,"A -54% segment profit collapse in one year followed by a recovery that uses EBITDA (not PBIT) as the recovery metric suggests the underlying margin is still structurally impaired. A&M would probe for permanent cost shifts, competitive price concessions, and mix deterioration as root causes.",Annual Report FY2023-24 (85th Annual Report); Annual Report FY2024-25 (86th Annual Report),Section 6 — Gross Margin Strategy; Segment Profitability Table
13,Industry vs Company Growth,Q3 FY26 revenue declined -5% YoY (Rs. 1048 crores vs Rs. 1103 crores in Q3 FY25) — reverses FY25 recovery,Negative,Q3 FY26,High,"FY25 revenue recovery of +4% has been fully negated by FY26 performance. Two of the last five years have seen revenue decline (FY24: -4.9%; 9MFY26: -9.7%). Pattern of instability suggests structural demand issues, not purely cyclical.",Board Meeting Outcome Q3 FY26 (Feb 9 2026),Section 1 — Industry vs Company Growth Table
14,Cost Structure,Finance costs flat: Rs. 12.78 crores (Q3 FY26) vs Rs. 12.69 crores (Q3 FY25) — no deleveraging despite pressure,Watch,Q3 FY26,High,"Company is generating operating losses but has not reduced its debt burden. Flat finance costs against declining revenue and negative PBT means the debt-to-operating-income ratio is worsening every quarter. Without deleveraging, the balance sheet deteriorates rapidly.",Board Meeting Outcome Q3 FY26 (Feb 9 2026),Section 5 — Cost Structure; Q3 FY26 P&L Table
15,Governance & Leadership,Asset monetization: Sion office property sold for Rs. 26.53 crores in Q3 FY26,Negative,Q3 FY26,High,"Non-core asset disposal to generate liquidity during operating losses is a classic cash preservation measure under financial stress. The timing — concurrent with the operating loss quarter — signals management is managing a liquidity pinch, not a strategic portfolio optimization.",Board Meeting Outcome Q3 FY26 (Feb 9 2026),Section 12 — Governance Alerts
16,Capacity Utilization,Overall capacity utilization declining trend: 57% (FY23) → 50% (FY24) → 53% (FY25); Lighting Solutions at 60% vs Consumer Products at only 43%,Negative,FY23–FY25,High,"Three-year declining trend in capacity utilization with no recovery to efficient utilization levels. Capital has been invested in 4 plants and 31.5 lakh sq.ft. warehouse for a volume level that is not materializing, implying capital inefficiency and stranded asset risk.",Annual Report FY2024-25 (86th Annual Report); Annual Report FY2023-24 (85th Annual Report),Section 3 — Capacity Utilization Table; Lines 69–80
17,Cost Structure,EBIT margin declining: 5.1% (FY24) → 4.5% (FY25) despite EBITDA margin held flat at 7.5% — D&A load increasing as % of revenue,Negative,FY24–FY25,High,"EBIT margin erosion while EBITDA holds flat means depreciation is consuming an increasing share of earnings. As revenue declines further in FY26, this D&A burden will amplify losses — fixed asset base is too large for current revenue run-rate.",Annual Report FY2024-25 (86th Annual Report),Section 5 — Financial Ratios Table; Lines 20190–20220
18,Governance & Leadership,JV share of loss: Rs. 10.39 crores in 9MFY26 (Rs. 4.89 crores in Q3 FY26 alone) — JV dragging consolidated performance,Negative,9MFY26 and Q3FY26,High,"Joint venture losses accumulated Rs. 10 cr in nine months and are escalating (Rs. 4.89 cr in Q3 alone vs implied average of ~Rs. 2.8 cr/quarter). Without visibility into the JV's business, consolidated losses are higher than standalone by this margin — structural drag.",Board Meeting Outcome Q3 FY26 (Feb 9 2026),Section 12 — Governance Alerts; Section 5 — Q3 FY26 P&L Table (Consolidated)
19,Industry vs Company Growth,Revenue declined -4.9% in FY24 (continuing operations): Rs. 4641 crores vs Rs. 4889 crores in FY23,Negative,FY24,Medium,"FY24 revenue contraction of -4.9% in a year when the FMEG industry also faced headwinds suggests limited competitive resilience. Consumer Products contracted -4.3% in the same year. This is the first year of pure FMEG reporting post-EPC demerger and it began with a decline.",Annual Report FY2023-24 (85th Annual Report),Section 1 — Industry vs Company Growth Table; Lines 29–31
20,Cost Structure,Cash flow from operations declining: Rs. 450 crores (FY23) → Rs. 354 crores (FY24) → Rs. 347 crores (FY25) — three-year consecutive decline,Negative,FY23–FY25,Medium,"Sustained operating cash flow decline signals the business is losing underlying cash generation capacity even as it reports positive EBITDA. Working capital consumption or margin erosion is compressing cash conversion. In FY26, with operating losses, CFO is likely to turn negative.",Annual Report FY2022-23; Annual Report FY2023-24 (85th Annual Report); Annual Report FY2024-25 (86th Annual Report),Section 5 — Cost Structure; Historical P&L Table
21,Operational Intelligence,Employee headcount declining: 1958 (FY24) → 1743 (FY25) = -11% reduction,Watch,FY24–FY25,Medium,"An 11% headcount reduction in one year, combined with the exceptional gratuity provision in Q3 FY26, suggests active but unannounced workforce restructuring. A&M would assess whether the cost savings are structural (permanent) or whether service and execution quality is impaired.",Annual Report FY2024-25 (86th Annual Report); Annual Report FY2023-24 (85th Annual Report),Section 2 — Operational Intelligence; Governance Section
22,Pricing Strategy,Core BAJAJ appliances facing demand pressure while Morphy Richards (premium) and air coolers (+65%) outperform — portfolio bifurcation,Watch,FY25,Medium,"The flagship BAJAJ mass brand — which carries the bulk of volume — is under-performing while niche segments excel. This creates a revenue mix vulnerability: premium outperformance is insufficient to offset mass-brand volume declines, structurally compressing revenue growth.",Annual Report FY2024-25 (86th Annual Report),Section 4 — Pricing Strategy; Lines 1079 region
23,Contract Manufacturing,Traded goods constitute approximately 73% of total material cost in Q3 FY26 (Rs. 55244 lakhs traded vs Rs. 13500 lakhs raw materials) — high outsourced dependency,Watch,Q3 FY26,Medium,"When 73% of material cost is bought-in traded goods, the company bears procurement cost but loses margin leverage. During volume downturns, own-plant fixed costs continue while traded goods volumes are cut — creating a structural profit squeeze from both directions.",Board Meeting Outcome Q3 FY26 (Feb 9 2026),Section 9 — Contract Manufacturing; Q3 FY26 P&L Table
24,Operational Intelligence,R&D team declining: 184 engineers (FY23) → 176 (FY24) → 170 (FY25) — three-year consecutive reduction,Watch,FY23–FY25,Medium,"Three consecutive years of R&D team decline signals an under-investment in product innovation at precisely the time when competitive pressure and consumer premiumisation require differentiated product development. This threatens future market share and pricing power.",Annual Report FY2024-25 (86th Annual Report); Annual Report FY2023-24 (85th Annual Report); Annual Report FY2022-23,Section 2 — Operational Intelligence; Lines 49
25,Gross Margin Strategy,EBITDA margin flat at 7.5% in FY24 and FY25 — no margin expansion despite revenue recovery in FY25 and domestic sourcing improvement,Watch,FY24–FY25,Medium,"Flat EBITDA margin despite revenue growth of +4% and domestic sourcing improvement suggests structural pricing pressure or cost escalation is fully absorbing efficiency gains. A&M would probe for competitive price-down pressure, mix deterioration, or hidden cost leaks.",Annual Report FY2024-25 (86th Annual Report),Section 5 — Financial Ratios Table; Section 6 — Gross Margin Strategy
26,Cost Structure,PAT margin declining: 2.9% (FY24) → 2.8% (FY25) on thin absolute base,Negative,FY24–FY25,Medium,"At sub-3% PAT margin, there is zero buffer for revenue shocks. FY26's operating losses validate this — the margin was too thin to absorb the -9.7% revenue decline. A&M would identify this as a structural fragility requiring either margin improvement or business model repositioning.",Annual Report FY2024-25 (86th Annual Report),Section 5 — Financial Ratios Table; Lines 20190–20220
27,After-Sales Service Costs,Customer care center network flat at 660 centers despite warranty extension on 23 SKUs (doubled lifespan) — service capacity not aligned with warranty liability growth,Watch,FY25,Medium,"Extending warranty liabilities on 23 SKUs without increasing service center capacity creates a latent operational bottleneck. As extended-warranty claims rise, the flat service network will face strain — impacting customer satisfaction and potentially increasing warranty cost-per-claim.",Annual Report FY2024-25 (86th Annual Report),Section 10 — After-Sales Service Costs; Operational Intelligence
28,Governance & Leadership,Subsidiary Starlite Lighting Limited — financials NOT FOUND; financial exposure unknown,Watch,Not disclosed,Medium,"Unknown subsidiary financial exposure is a governance and due-diligence risk. In a turnaround context, hidden subsidiary liabilities, intercompany loans, or off-balance-sheet obligations can materially worsen the restructuring picture. Starlite's financial health is unverifiable from available documents.",CSV Input — consumer durables - key documents - bajaj.csv,Row 25 — Starlite Lighting Limited — NOT FOUND
29,Cost Structure,ROCE marginally declining: 13.9% (FY24) → 13.8% (FY25); likely to deteriorate sharply in FY26 given operating losses,Watch,FY24–FY25,Medium,"Marginal ROCE decline is a leading indicator — the trend matters more than the level. Given FY26 operating losses on the same capital base, ROCE is expected to turn negative, confirming capital misallocation in the manufacturing infrastructure expansion.",Annual Report FY2024-25 (86th Annual Report); Annual Report FY2023-24 (85th Annual Report),Section 5 — Cost Structure; Financial Ratios Table
30,Retail Footprint,Pin codes served declining: 19356 (FY24) → 19000+ (FY25) — rural reach contracting,Watch,FY24–FY25,Medium,"Declining pin code coverage signals rural distribution retreat. FMEG volume growth in India is increasingly driven by Tier 2/3 and rural markets; contracting pin code coverage means Bajaj is ceding first-mover advantage in high-growth rural demand pockets.",Annual Report FY2024-25 (86th Annual Report); Annual Report FY2023-24 (85th Annual Report),Section 11 — Retail Footprint Table
31,Gross Margin Strategy,Lighting Solutions PBIT marginally compressed: Rs. 87 crores (FY23) → Rs. 80 crores (FY24) → Rs. 81 crores (FY25) despite flat revenues,Watch,FY23–FY25,Medium,"Lighting Solutions has held revenues flat for three years (Rs. 1023–1037 crore band) while PBIT compressed from 8.4% to 7.7–7.9% margin. LED price erosion is structural, not cyclical; revenue flatness in a growing lighting market implies market share loss.",Annual Report FY2022-23; Annual Report FY2023-24 (85th Annual Report); Annual Report FY2024-25 (86th Annual Report),Section 6 — Gross Margin Strategy; Segment Profitability Table
32,Industry vs Company Growth,E-commerce channel growth for Consumer Products described as single-digit only due to demand pressures and extensive competitive disruption,Watch,FY25,Medium,"E-commerce is the fastest-growing FMEG channel in India; single-digit growth by Bajaj in this channel indicates the company is losing digital-native consumers to pure-play e-commerce brands and D2C entrants, a structural long-term share erosion risk.",Annual Report FY2024-25 (86th Annual Report),Section 4 — Pricing Strategy; Lines 19510–19530
33,Localization,PLI scheme participation not evidenced in any available document — potential missed government incentive vs sector peers,Watch,FY25,Low,"If peers are benefiting from PLI (Production-Linked Incentive) scheme for FMEG or components, Bajaj's non-participation represents a structural cost and competitive disadvantage. Given the current profitability crisis, any uncaptured incentive is a missed cash flow opportunity.",Annual Report FY2024-25 (86th Annual Report),Section 7 — Localization; Evidence Gaps
34,Cost Structure,Debtors turnover declining: 4.0x (FY24) → 3.9x (FY25) — receivable collection slightly slower,Watch,FY24–FY25,Low,"Marginal debtors turnover decline suggests credit period extension to channel partners — a typical trade incentive during demand weakness. Directionally negative for working capital efficiency; in an operating loss environment, cash collection speed matters critically.",Annual Report FY2024-25 (86th Annual Report),Section 5 — Financial Ratios Table; Lines 20190–20220
35,Operational Intelligence,SKU launches declined: 1020 (FY24) → 929 (FY25) — Consumer Products launches reduced from 467 to 257,Watch,FY24–FY25,Low,"Consumer Products new SKU launches fell -45% (467 to 257) even as Lighting Solutions SKUs grew. Reduced CP innovation pipeline may reflect budget constraints or portfolio rationalization, either of which signals reduced future revenue growth optionality.",Annual Report FY2024-25 (86th Annual Report); Annual Report FY2023-24 (85th Annual Report),Section 2 — Operational Intelligence; SKU Activity Table
36,After-Sales Service Costs,Warranty extended on 23 SKUs (effective lifespan doubled under Built for Life philosophy) — increasing future warranty provisioning liability,Watch,FY25,Low,"Voluntary warranty extension creates a multi-year contingent liability. If product quality is not proportionately improved, claim rates will rise against a doubling of warranty commitment. A&M would size the incremental warranty reserve requirement.",Annual Report FY2024-25 (86th Annual Report),Section 10 — After-Sales Service Costs
37,Pricing Strategy,Brand investment sustained at Rs. 140.4 crores (~2.9% of revenue) during an operating loss year — high fixed marketing commitment,Watch,FY25,Low,"Maintaining Rs. 140 crore brand spend while generating operating losses in FY26 may not be sustainable. This spend was calibrated to a Rs. 4828 crore revenue base; at 9MFY26 pace (Rs. 4280 crore annualized), brand investment as % of revenue rises to ~3.3%, further pressuring margins.",Annual Report FY2024-25 (86th Annual Report),Section 4 — Pricing Strategy; Section 10 — After-Sales
38,Governance & Leadership,New MD Sanjay Sachdeva appointed March 28 2025 — strategy transition risk during operating stress period,Watch,March 2025,Low,"New leadership in the midst of operating losses creates a transition risk window — the incoming MD must simultaneously understand the business and take urgent restructuring decisions. A&M engagements typically become more viable when a new CEO needs rapid external analytical support.",Annual Report FY2024-25 (86th Annual Report),Section 12 — Governance and Leadership
39,Governance & Leadership,New Independent Director Pramod Agrawal appointed at February 2026 Board meeting,Watch,Feb 2026,Low,"A board-level addition during a period of operating losses may indicate governance strengthening or preparation for a restructuring/refinancing event. Worth monitoring for any subsequent board committee mandate related to financial restructuring.",Board Meeting Outcome Q3 FY26 (Feb 9 2026),Section 12 — Governance and Leadership; Governance Alerts
40,Industry vs Company Growth,FY25 revenue recovery of +4% following FY24 decline of -4.9% — recovery narrative now fully reversed by FY26,Positive (reversed),FY25,Low,"The FY25 recovery appeared promising but was built on a low base and specific category tailwinds (air cooler summer surge). Three quarters of FY26 data confirm it was not structural. A&M would note this as evidence that the underlying business lacks durable growth drivers.",Annual Report FY2024-25 (86th Annual Report); Board Meeting Outcome Q3 FY26 (Feb 9 2026),Section 1 — Industry vs Company Growth; Lines 35–37
41,Capacity Utilization,Lighting Solutions capacity utilization at 60% — relatively better than Consumer Products at 43% but still significantly underutilized,Watch,FY25,Low,"Lighting Solutions at 60% utilization is better managed than CP but still leaves 40% of installed capacity idle. In the context of flat LS revenues for three years, this represents a capital efficiency problem — 40% of lighting capacity is creating cost without revenue.",Annual Report FY2024-25 (86th Annual Report),Section 3 — Capacity Utilization Table; Lines 69–80
42,Retail Footprint,Dealer base growing: 700+ (FY24) → 850+ (FY25) = approximately +21% growth,Positive,FY24–FY25,Informational,"Dealer expansion is a positive distribution signal but must be interpreted alongside the -15% retailer base decline. Growing distributor count while losing retail points suggests the company is adding intermediaries without improving last-mile reach — a structural inefficiency.",Annual Report FY2024-25 (86th Annual Report); Annual Report FY2023-24 (85th Annual Report),Section 11 — Retail Footprint Table
43,Retail Footprint,Modern trade (National Format Retail + Regional Format Retail) growing at +15% and contributing approximately 13% of Consumer Products revenue,Positive,FY25,Informational,"Modern trade growth at +15% is the strongest channel signal in FY25. However, at 13% revenue contribution, it cannot offset declines in the trade and e-commerce channels. Positive but insufficient scale to be a turnaround lever on its own.",Annual Report FY2024-25 (86th Annual Report),Section 4 — Pricing Strategy; Lines 19510–19530
44,Industry vs Company Growth,Air cooler category grew +65% for Bajaj in FY25 driven by targeted initiatives and seasonal alignment,Positive,FY25,Informational,"Strong air cooler growth is a positive but seasonal and weather-dependent category signal. +65% growth off a small base does not indicate a structural competitive moat. A&M would note this as a bright spot but flag its dependence on heat wave conditions repeating.",Annual Report FY2024-25 (86th Annual Report),Section 1 — Industry vs Company Growth; Lines 31 and 19523
45,Localization,Consumer Products domestic sourcing >90%; Lighting Solutions domestic sourcing >99% — near-complete supply chain domestication,Positive,FY25,Informational,"High domestic sourcing de-risks the company from FX and import disruptions. For Lighting Solutions in particular, >99% domestication with Nashik plant automation creates a structurally lower-cost and more resilient supply chain — a genuine competitive strength.",Annual Report FY2024-25 (86th Annual Report),Section 7 — Localization; Lines 58–65
46,Operational Intelligence,Nashik plant LED assembly line fully converted from manual to automated — productivity and packing efficiency improvement,Positive,FY25,Informational,"A completed automation milestone in Lighting reduces per-unit labor cost and improves throughput consistency. In the context of LED price erosion, this is a necessary defensive action to protect margins rather than a growth-enabling investment.",Annual Report FY2024-25 (86th Annual Report),Section 2 — Operational Intelligence; Lines 64–65
47,Cost Structure,Inventory turnover improved: 3.8x (FY24) → 4.5x (FY25) = +19.2% efficiency improvement,Positive,FY24–FY25,Informational,"Improved inventory turnover is a genuine working capital efficiency gain and the strongest financial ratio improvement in FY25. However, context matters: faster inventory turns may also reflect lower production (under-stocking due to weak demand) rather than true operational improvement.",Annual Report FY2024-25 (86th Annual Report),Section 5 — Financial Ratios Table; Lines 20190–20220
48,Retail Footprint,Quick commerce channel gaining significant momentum especially in urban and semi-urban geographies — company aligned to this trend,Positive,FY25,Informational,"Quick commerce represents an emerging channel opportunity that Bajaj is early to adopt. Strategic channel diversification toward Q-commerce provides a future revenue stream, but current contribution is likely minimal given the channel's nascent stage.",Annual Report FY2024-25 (86th Annual Report),Section 4 — Pricing Strategy; Lines 19510–19530
49,Cost Structure,Surplus funds Rs. 509 crores as of FY25 — significant liquidity buffer,Positive,FY25,Informational,"Rs. 509 crore surplus provides a near-term liquidity cushion against operating losses. At Q3 FY26 loss run-rate of approximately Rs. 29 cr/quarter, this buffer can sustain 17 quarters of losses — but rapid deterioration (Sion property sale) suggests management is being proactive about cash.",Annual Report FY2024-25 (86th Annual Report),Section 5 — Cost Structure; Lines 3927 and 3979
50,Operational Intelligence,38 patents filed in FY25; 5 patents granted; 63 design registrations — innovation pipeline maintained,Positive,FY25,Informational,"Active IP filing indicates sustained product innovation intent despite R&D team shrinkage. However, patents filed vs. patents commercialized into revenue-generating products is the metric that matters — and this linkage is not evidenced in available documents.",Annual Report FY2024-25 (86th Annual Report),Section 12 — Governance and Leadership; Lines 38 patents referenced
51,Operational Intelligence,EPC Power Transmission demerger completed in FY24 — company is now a pure-play Consumer Products and Lighting Solutions FMEG,Positive (strategic),FY24,Informational,"Strategic simplification through EPC demerger eliminates a complex, capital-heavy business and focuses management bandwidth on FMEG. However, the FY24 demerger year coincided with the first year of revenue decline and CP PBIT collapse — suggesting the refocused entity is itself under significant stress.",Annual Report FY2023-24 (85th Annual Report),Section 12 — Governance; EPC Demerger context
52,Industry vs Company Growth,Trade channel FY25 H2 growth of 7.5% surpassed H1 growth of 3.3% — second-half momentum noted but not sustained into FY26,Positive (reversed),FY25 H2,Informational,"Trade channel H2 acceleration was a positive inflection point that has since reversed sharply in FY26. A&M would note this as evidence that demand recovery is episodic and channel-incentive-driven rather than organic consumer demand restoration.",Annual Report FY2024-25 (86th Annual Report),Section 4 — Pricing Strategy; Lines 19523 region
